Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2009-01-01,Brisbane,22.2,33.9,0,9,6.9,W,44,SE,NNE,4,13,60,65,1007.4,1005.1,5,7,29.7,30.9,No,No
2009-01-02,Brisbane,23.2,31.5,0,7.4,0.7,ESE,30,SSW,E,11,17,74,47,1009.9,1009.7,8,8,25,29.4,No,Yes
2009-01-03,Brisbane,21.8,26,4.4,5.4,0,SSE,41,SE,SSE,15,15,85,86,1015.3,1015.1,8,8,22.7,22.1,Yes,Yes
2009-01-04,Brisbane,20.1,27.5,4.8,4.2,7,ESE,35,SE,SE,17,17,55,45,1017.4,1014.7,7,7,25.6,26.3,Yes,No
2009-01-05,Brisbane,20.4,29,0,7.8,7.7,SSE,30,SE,E,11,19,65,54,1014.1,1012.1,7,7,25.8,27.7,No,No
2009-01-06,Brisbane,20.8,30.5,0,6.4,12.7,E,30,ESE,E,9,15,58,49,1013.5,1011.1,3,2,27.3,29.6,No,No
2009-01-07,Brisbane,20.9,29.8,0,8.6,11.4,NE,30,E,NE,9,17,62,57,1013,1010.2,3,7,27.2,28.4,No,Yes
2009-01-08,Brisbane,22.5,29,1.4,8.2,1.1,E,24,NA,ENE,0,11,86,64,1010.5,1008.5,7,7,24.5,28,Yes,No
2009-01-09,Brisbane,23.1,30.2,0.6,4.4,2.8,SSE,43,S,SSE,9,24,74,47,1011.8,1010.4,8,7,24.9,28.9,No,No
2009-01-10,Brisbane,19,29.1,0.2,6.4,9.6,SE,43,SE,ESE,20,22,52,51,1012.4,1010.4,3,5,26,26.3,No,No
2009-01-11,Brisbane,19.6,28.7,0,9,8.9,ESE,33,SE,E,9,17,55,56,1012.6,1010.6,7,7,25.5,26.2,No,No
2009-01-12,Brisbane,18.6,29.5,0,7.6,9.5,ESE,35,E,E,9,15,60,54,1014.6,1013.2,7,7,26,27.8,No,No
2009-01-13,Brisbane,20.2,30.2,0,7.6,11.5,E,37,ESE,E,17,20,55,53,1017.2,1015.4,6,4,26.3,27.2,No,No
2009-01-14,Brisbane,18.8,29.3,0,9.4,13,NE,33,E,ESE,13,17,49,39,1017.2,1015.3,3,3,26.7,28.5,No,No
2009-01-15,Brisbane,19,31.7,0,8.4,12.8,NNE,30,W,ENE,7,17,59,45,1016.4,1013.1,3,1,26.1,29.7,No,No
2009-01-16,Brisbane,19.8,32.9,0,9,12.4,NE,31,WNW,NE,7,15,54,52,1013.8,1010,1,6,28.1,31.1,No,No
2009-01-17,Brisbane,23.2,31.1,0,9,7.1,ESE,52,ESE,SE,15,22,65,61,1012.6,1014,7,7,27.9,26.1,No,No
2009-01-18,Brisbane,20.3,27.8,0,8.8,5.8,ESE,33,ESE,ESE,13,17,56,56,1019.4,1018.1,7,7,25.4,25.1,No,No
2009-01-19,Brisbane,18.7,28.9,0,7.6,9,ENE,31,SE,ENE,13,15,49,50,1019.2,1016.7,7,7,26.4,26.5,No,No
2009-01-20,Brisbane,19.3,30.9,0,8.6,12.5,ENE,26,ENE,ENE,9,17,49,42,1017.7,1015.5,4,3,27.4,29.3,No,No
2009-01-21,Brisbane,21.9,31.5,0,8.2,11.7,NE,35,NNE,NNE,11,17,63,54,1016.5,1013.5,5,1,28.4,30.2,No,No
2009-01-22,Brisbane,25,32.3,0,9.2,8.2,NE,43,NNW,NNE,11,17,64,58,1014.5,1010.6,5,6,28.4,30.6,No,Yes
