Date_x,Date_y,MinTemp,MaxTemp,RainFall,Evaporation,Sunshine,WindGustDir_x,WindGustDir_y,WindGustSpeed,WindDir9am_x,WindDir9am_y,WindDir3pm_x,WindDir3pm_y,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,dewDiffTemp3pm,dewDiffTemp9am,diffTemp3pm9am,diffPress3pm9am,RainToday
1,0,22.2,33.9,0,9,6.9,-1.83697e-16,-1,44,-0.707107,0.707107,0.92388,0.382683,4,13,60,65,1007.4,1005.1,5,7,29.7,30.9,7.36338,8.61109,1.2,-2.3,0
0.999852,0.0172134,23.2,31.5,0,7.4,0.7,-0.382683,0.92388,30,-0.92388,-0.382683,6.12323e-17,1,11,17,74,47,1009.9,1009.7,8,8,25,29.4,12.5072,4.96624,4.4,-0.2,0
0.999407,0.0344216,21.8,26,4.4,5.4,0,-0.92388,0.382683,41,-0.707107,0.707107,-0.92388,0.382683,15,15,85,86,1015.3,1015.1,8,8,22.7,22.1,2.4564,2.65711,-0.6,-0.2,1
0.998667,0.0516197,20.1,27.5,4.8,4.2,7,-0.382683,0.92388,35,-0.707107,0.707107,-0.707107,0.707107,17,17,55,45,1017.4,1014.7,7,7,25.6,26.3,12.8949,9.72347,0.7,-2.7,1
0.99763,0.0688024,20.4,29,0,7.8,7.7,-0.92388,0.382683,30,-0.707107,0.707107,6.12323e-17,1,11,19,65,54,1014.1,1012.1,7,7,25.8,27.7,10.1678,7.0901,1.9,-2,0
0.996298,0.0859648,20.8,30.5,0,6.4,12.7,6.12323e-17,1,30,-0.382683,0.92388,6.12323e-17,1,9,15,58,49,1013.5,1011.1,3,2,27.3,29.6,11.8648,9.00202,2.3,-2.4,0
0.994671,0.103102,20.9,29.8,0,8.6,11.4,0.707107,0.707107,30,6.12323e-17,1,0.707107,0.707107,9,17,62,57,1013,1010.2,3,7,27.2,28.4,9.3552,7.92699,1.2,-2.8,0
0.990532,0.137279,23.1,30.2,0.6,4.4,2.8,-0.92388,0.382683,43,-1,1.22465e-16,-0.92388,0.382683,9,24,74,47,1011.8,1010.4,8,7,24.9,28.9,12.4615,4.9625,4,-1.4,0
0.988023,0.154309,19,29.1,0.2,6.4,9.6,-0.707107,0.707107,43,-0.707107,0.707107,-0.382683,0.92388,20,22,52,51,1012.4,1010.4,3,5,26,26.3,10.9575,10.6306,0.3,-2,0
0.98522,0.171293,19.6,28.7,0,9,8.9,-0.382683,0.92388,33,-0.707107,0.707107,6.12323e-17,1,9,17,55,56,1012.6,1010.6,7,7,25.5,26.2,9.48322,9.71622,0.7,-2,0
0.982126,0.188227,18.6,29.5,0,7.6,9.5,-0.382683,0.92388,35,6.12323e-17,1,6.12323e-17,1,9,15,60,54,1014.6,1013.2,7,7,26,27.8,10.1753,8.37817,1.8,-1.4,0
0.97874,0.205104,20.2,30.2,0,7.6,11.5,6.12323e-17,1,37,-0.382683,0.92388,6.12323e-17,1,17,20,55,53,1017.2,1015.4,6,4,26.3,27.2,10.4255,9.77428,0.9,-1.8,0
0.975065,0.221922,18.8,29.3,0,9.4,13,0.707107,0.707107,33,6.12323e-17,1,-0.382683,0.92388,13,17,49,39,1017.2,1015.3,3,3,26.7,28.5,15.3188,11.6144,1.8,-1.9,0
0.9711,0.238673,19,31.7,0,8.4,12.8,0.92388,0.382683,30,-1.83697e-16,-1,0.382683,0.92388,7,17,59,45,1016.4,1013.1,3,1,26.1,29.7,13.2208,8.65124,3.6,-3.3,0
0.966848,0.255353,19.8,32.9,0,9,12.4,0.707107,0.707107,31,0.382683,-0.92388,0.707107,0.707107,7,15,54,52,1013.8,1010,1,6,28.1,31.1,11.0372,10.1979,3,-3.8,0
0.962309,0.271958,23.2,31.1,0,9,7.1,-0.382683,0.92388,52,-0.382683,0.92388,-0.707107,0.707107,15,22,65,61,1012.6,1014,7,7,27.9,26.1,8.12147,7.20202,-1.8,1.4,0
0.957485,0.288482,20.3,27.8,0,8.8,5.8,-0.382683,0.92388,33,-0.382683,0.92388,-0.382683,0.92388,13,17,56,56,1019.4,1018.1,7,7,25.4,25.1,9.40573,9.42684,-0.3,-1.3,0
0.952378,0.304921,18.7,28.9,0,7.6,9,0.382683,0.92388,31,-0.707107,0.707107,0.382683,0.92388,13,15,49,50,1019.2,1016.7,7,7,26.4,26.5,11.2828,11.5886,0.1,-2.5,0
0.946988,0.32127,19.3,30.9,0,8.6,12.5,0.382683,0.92388,26,0.382683,0.92388,0.382683,0.92388,9,17,49,42,1017.7,1015.5,4,3,27.4,29.3,14.2604,11.6746,1.9,-2.2,0
0.941317,0.337523,21.9,31.5,0,8.2,11.7,0.707107,0.707107,35,0.92388,0.382683,0.92388,0.382683,11,17,63,54,1016.5,1013.5,5,1,28.4,30.2,10.3565,7.73798,1.8,-3,0
0.935368,0.353676,25,32.3,0,9.2,8.2,0.707107,0.707107,43,0.92388,-0.382683,0.92388,0.382683,11,17,64,58,1014.5,1010.6,5,6,28.4,30.6,9.22371,7.48164,2.2,-3.9,0
0.929141,0.369725,24.2,29.9,26.6,7,0.5,0.92388,0.382683,30,1,0,0.92388,0.382683,2,13,84,77,1012.4,1009.5,7,7,26.6,28.3,4.42991,2.93397,1.7,-2.9,1
0.92264,0.385663,23.6,32.5,4.4,2.8,3.8,0.92388,0.382683,30,-0.707107,-0.707107,0.707107,0.707107,6,13,68,64,1011.5,1007.9,7,7,29.3,30.3,7.58734,6.53355,1,-3.6,1
0.915864,0.401488,25.2,31,0,3.6,3.1,0.382683,0.92388,26,0.382683,0.92388,0.707107,0.707107,7,15,81,80,1013,1012.9,7,7,27.3,27.9,3.78002,3.5564,0.6,-0.1,0
