Date_x,Date_y,RainFall,Sunshine,WindGustDir_x,WindGustSpeed,WindDir9am_x,WindDir9am_y,WindDir3pm_x,WindDir3pm_y,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud3pm,dewDiffTemp3pm,dewDiffTemp9am,diffTemp3pm9am,diffPress3pm9am
0.421101,-0.907014,4.8,10.5,-0.382683,37.0,0.707107,-0.707107,-0.707107,0.707107,17.0,53.0,62.0,1018.5,1016.7,4.0,7.86814,10.3254,0.3,-1.8
-0.766659,0.642055,5.0,10.0,-1.83697e-16,33.0,-1.83697e-16,-1.0,-1.83697e-16,-1.0,15.0,69.0,48.0,1010.2,1007.3,3.0,11.4629,5.77203,3.4,-2.9
-0.856551,-0.516062,0.0,10.2,-1.83697e-16,39.0,-1.83697e-16,-1.0,-1.83697e-16,-1.0,13.0,54.0,38.0,1014.9,1012.2,1.0,14.7789,9.14899,6.4,-2.7
0.814046,-0.5808,0.0,11.7,0.382683,28.0,0.92388,0.382683,0.707107,0.707107,9.0,57.0,54.0,1019.0,1016.3,1.0,10.1153,9.19013,1.0,-2.7
0.638749,0.769415,0.0,8.1,0.382683,41.0,0.382683,-0.92388,0.382683,0.92388,13.0,65.0,67.0,1008.1,1004.6,6.0,6.82838,7.35257,-0.4,-3.5
-0.777597,-0.628763,0.0,10.3,-0.707107,39.0,-0.707107,-0.707107,-0.382683,-0.92388,13.0,41.0,22.0,1015.7,1012.2,0.0,22.1696,13.0264,5.0,-3.5
-0.993747,-0.111659,0.0,10.1,-1.83697e-16,33.0,-1.83697e-16,-1.0,-1.83697e-16,-1.0,15.0,41.0,28.0,1020.8,1016.9,0.0,19.0266,13.0164,6.0,-3.9
0.467359,-0.884068,0.2,5.5,6.12323e-17,24.0,-0.382683,0.92388,0.382683,0.92388,9.0,56.0,57.0,1023.1,1020.8,7.0,8.96546,9.23774,0.0,-2.3
0.97874,0.205104,0.4,6.9,0.382683,31.0,-0.382683,0.92388,-0.382683,0.92388,13.0,58.0,57.0,1013.1,1010.8,5.0,9.26561,8.99534,-0.1,-2.3
-0.577292,-0.816538,5.2,0.0,0.707107,22.0,6.12323e-17,1.0,0.382683,0.92388,7.0,94.0,93.0,1021.9,1015.7,8.0,1.15874,0.980953,1.0,-6.2
-0.349647,-0.936881,0.0,1.9,-0.707107,35.0,-0.707107,-0.707107,-0.382683,0.92388,11.0,60.0,67.0,1030.2,1027.8,7.0,6.30042,7.95817,0.4,-2.4
-0.944188,-0.329408,2.8,0.0,-0.382683,19.0,-0.707107,-0.707107,-0.382683,0.92388,4.0,86.0,92.0,1029.6,1025.4,8.0,1.31808,2.29354,4.4,-4.2
0.357698,0.933837,0.0,10.0,6.12323e-17,28.0,-0.92388,0.382683,-0.382683,0.92388,13.0,65.0,46.0,1014.5,1011.8,2.0,12.7619,7.11135,2.3,-2.7
-0.474951,-0.880012,0.0,8.9,-0.382683,41.0,-0.92388,0.382683,-0.707107,0.707107,15.0,66.0,49.0,1031.1,1028.7,3.0,11.2223,6.52097,2.7,-2.4
