Date_x,Date_y,RainFall,Evaporation,Sunshine,WindGustDir_x,WindGustDir_y,WindGustSpeed,WindDir9am_x,WindDir9am_y,WindDir3pm_x,WindDir3pm_y,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud3pm,Temp9am,dewDiffTemp3pm,dewDiffTemp9am,diffTemp3pm9am,diffPress3pm9am,RainToday
1,0,0,9,6.9,-1.83697e-16,-1,44,-0.707107,0.707107,0.92388,0.382683,4,13,60,65,1007.4,1005.1,7,29.7,7.36338,8.61109,1.2,-2.3,0
0.999852,0.0172134,0,7.4,0.7,-0.382683,0.92388,30,-0.92388,-0.382683,6.12323e-17,1,11,17,74,47,1009.9,1009.7,8,25,12.5072,4.96624,4.4,-0.2,0
0.999407,0.0344216,4.4,5.4,0,-0.92388,0.382683,41,-0.707107,0.707107,-0.92388,0.382683,15,15,85,86,1015.3,1015.1,8,22.7,2.4564,2.65711,-0.6,-0.2,1
0.998667,0.0516197,4.8,4.2,7,-0.382683,0.92388,35,-0.707107,0.707107,-0.707107,0.707107,17,17,55,45,1017.4,1014.7,7,25.6,12.8949,9.72347,0.7,-2.7,1
0.99763,0.0688024,0,7.8,7.7,-0.92388,0.382683,30,-0.707107,0.707107,6.12323e-17,1,11,19,65,54,1014.1,1012.1,7,25.8,10.1678,7.0901,1.9,-2,0
0.996298,0.0859648,0,6.4,12.7,6.12323e-17,1,30,-0.382683,0.92388,6.12323e-17,1,9,15,58,49,1013.5,1011.1,2,27.3,11.8648,9.00202,2.3,-2.4,0
0.994671,0.103102,0,8.6,11.4,0.707107,0.707107,30,6.12323e-17,1,0.707107,0.707107,9,17,62,57,1013,1010.2,7,27.2,9.3552,7.92699,1.2,-2.8,0
0.990532,0.137279,0.6,4.4,2.8,-0.92388,0.382683,43,-1,1.22465e-16,-0.92388,0.382683,9,24,74,47,1011.8,1010.4,7,24.9,12.4615,4.9625,4,-1.4,0
0.988023,0.154309,0.2,6.4,9.6,-0.707107,0.707107,43,-0.707107,0.707107,-0.382683,0.92388,20,22,52,51,1012.4,1010.4,5,26,10.9575,10.6306,0.3,-2,0
0.98522,0.171293,0,9,8.9,-0.382683,0.92388,33,-0.707107,0.707107,6.12323e-17,1,9,17,55,56,1012.6,1010.6,7,25.5,9.48322,9.71622,0.7,-2,0
0.982126,0.188227,0,7.6,9.5,-0.382683,0.92388,35,6.12323e-17,1,6.12323e-17,1,9,15,60,54,1014.6,1013.2,7,26,10.1753,8.37817,1.8,-1.4,0
