Date_x,Date_y,RainFall,Evaporation,Sunshine,WindGustDir_x,WindGustDir_y,WindGustSpeed,WindDir9am_x,WindDir9am_y,WindDir3pm_x,WindDir3pm_y,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud3pm,Temp9am,dewDiffTemp3pm,dewDiffTemp9am,diffTemp3pm9am,diffPress3pm9am,RainToday
1,0,0,10.4,11.5,-0.382683,0.92388,30,-0.92388,0.382683,6.12323e-17,1,7,13,46,46,1013.4,1009.7,1,25.8,12.7339,12.5104,2.4,-3.7,0
0.999852,0.0172134,0,8.8,11.9,0.382683,0.92388,28,-0.707107,0.707107,0.382683,0.92388,6,13,46,43,1011.6,1007.8,4,25.7,13.7926,12.5012,2.6,-3.8,0
0.999407,0.0344216,0,8.8,0.9,-0.707107,0.707107,24,-1,1.22465e-16,6.12323e-17,1,2,11,64,55,1011.6,1009.5,7,23.8,9.78155,7.22873,2.6,-2.1,0
0.998667,0.0516197,8.8,4,0.5,0.382683,0.92388,19,-0.92388,-0.382683,0.382683,0.92388,6,9,69,69,1012.6,1009.7,8,23.5,6.13467,6.02474,2.4,-2.9,1
0.994671,0.103102,0,8,13,0.707107,0.707107,28,6.12323e-17,1,0.382683,0.92388,7,13,52,53,1010.4,1009.6,2,27.7,10.5726,10.7653,1.4,-0.8,0
0.990532,0.137279,0,9.6,12.6,0.382683,0.92388,26,0.382683,-0.92388,0.382683,0.92388,6,13,57,54,1020.7,1017.2,1,26,10.1979,9.19013,2.1,-3.5,0
0.988023,0.154309,0,7.8,10.4,0.382683,0.92388,24,-1.83697e-16,-1,6.12323e-17,1,4,15,60,57,1019.2,1015.9,2,26.8,9.36211,8.42827,1.7,-3.3,0
0.982126,0.188227,0,8,12.7,0.382683,0.92388,24,0.707107,0.707107,0.707107,0.707107,6,9,57,53,1016.7,1013.6,1,28,10.6894,9.32759,2.6,-3.1,0
0.97874,0.205104,0,6.8,11.3,0.382683,0.92388,22,0.92388,0.382683,0.382683,0.92388,6,11,56,50,1018.5,1016.9,5,28.6,11.5518,9.65333,1.1,-1.6,0
0.975065,0.221922,0,7.8,12.7,0.382683,0.92388,24,0.92388,0.382683,0.707107,0.707107,6,9,53,53,1018.5,1015.6,1,27.6,10.6426,10.4563,2.4,-2.9,0
0.9711,0.238673,0,9.2,10.8,-0.707107,0.707107,39,-0.92388,-0.382683,6.12323e-17,1,4,19,57,58,1016.3,1013.9,4,28.5,9.13607,9.36211,0.8,-2.4,0
0.966848,0.255353,1,8.8,0,-0.382683,0.92388,31,-0.92388,-0.382683,-0.382683,0.92388,4,15,86,53,1021.1,1019,7,20.1,10.264,2.4189,5,-2.1,0
0.962309,0.271958,0,6.2,10.1,-0.382683,0.92388,35,-0.707107,0.707107,-0.707107,0.707107,13,15,48,45,1020.5,1017.8,4,26.1,12.933,11.882,0.6,-2.7,0
0.957485,0.288482,0,9,12.4,6.12323e-17,1,26,-0.92388,0.382683,6.12323e-17,1,9,13,47,45,1018.8,1016.2,3,25.6,12.9426,12.1619,1.2,-2.6,0
0.952378,0.304921,0,9.2,12.7,0.382683,0.92388,24,0.382683,-0.92388,0.707107,0.707107,4,11,54,49,1019.3,1015.4,6,25.4,11.7695,9.99565,3.1,-3.9,0
0.946988,0.32127,0,8,12.8,0.707107,0.707107,30,0.707107,0.707107,0.92388,0.382683,6,9,52,48,1018.3,1014.6,1,27.2,12.1565,10.7256,2,-3.7,0
0.941317,0.337523,0,8,12.9,0.707107,0.707107,28,0.92388,0.382683,0.707107,0.707107,7,13,50,51,1016.8,1013.6,3,27.6,11.2191,11.3749,1.9,-3.2,0
0.935368,0.353676,0,10.8,11.7,0.707107,0.707107,28,0.707107,-0.707107,0.707107,0.707107,6,11,48,52,1014.7,1010.5,6,27.8,10.9729,12.0322,2.5,-4.2,0
0.929141,0.369725,0,10,2.5,-0.382683,-0.92388,26,1,0,0.382683,0.92388,6,6,56,69,1008.9,1006.3,8,27.8,6.22238,9.59647,0,-2.6,0
0.92264,0.385663,10.2,3,9.1,6.12323e-17,1,31,-0.92388,0.382683,6.12323e-17,1,7,17,64,57,1010.9,1008.6,4,28,9.40362,7.45948,1.1,-2.3,1
0.915864,0.401488,0,8.6,6.6,0.382683,0.92388,30,6.12323e-17,1,0.382683,0.92388,6,17,70,61,1013.6,1010.4,7,27.1,8.27372,5.95536,1.5,-3.2,0
0.908818,0.417194,2,7,2.6,-0.382683,0.92388,28,-0.92388,-0.382683,6.12323e-17,1,4,15,82,70,1014.5,1013.7,8,25,5.90654,3.29436,1,-0.8,1
0.901502,0.432776,0.4,4,9.5,0.382683,0.92388,22,-0.92388,0.382683,0.382683,0.92388,4,9,63,57,1015.5,1012,7,26.3,9.27937,7.61807,1,-3.5,0
0.893919,0.448229,0.2,7,0.3,0.707107,0.707107,22,0.92388,-0.382683,0.92388,0.382683,6,6,70,73,1010.9,1006.5,7,25.6,5.26076,5.88883,1.3,-4.4,0
