Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2016-01-01,Brisbane,19.1,30.8,0,10.4,11.5,ESE,30,SSE,E,7,13,46,46,1013.4,1009.7,4,1,25.8,28.2,No,No
2016-01-02,Brisbane,18.5,30.1,0,8.8,11.9,ENE,28,SE,ENE,6,13,46,43,1011.6,1007.8,1,4,25.7,28.3,No,No
2016-01-03,Brisbane,21,28,0,8.8,0.9,SE,24,S,E,2,11,64,55,1011.6,1009.5,7,7,23.8,26.4,No,Yes
2016-01-04,Brisbane,18.5,26.8,8.8,4,0.5,ENE,19,SSW,ENE,6,9,69,69,1012.6,1009.7,7,8,23.5,25.9,Yes,Yes
2016-01-05,Brisbane,20.6,NA,23.2,4.4,0,NA,NA,E,NA,9,0,95,94,1010.9,1007.9,8,8,20.9,21.4,Yes,NA
2016-01-06,Brisbane,20.8,32.5,NA,0.6,13.3,NA,NA,SW,W,9,13,61,41,1006.2,1004.1,1,1,27.2,32.1,NA,No
2016-01-07,Brisbane,21.6,30,0,8,13,NE,28,E,ENE,7,13,52,53,1010.4,1009.6,3,2,27.7,29.1,No,No
2016-01-08,Brisbane,20.9,29.5,0,10.6,12.5,NA,NA,SE,ENE,6,13,45,48,1018.9,1016.7,5,1,25.6,27.4,No,No
2016-01-09,Brisbane,19.4,30.3,0,9.6,12.6,ENE,26,WNW,ENE,6,13,57,54,1020.7,1017.2,5,1,26,28.1,No,No
2016-01-10,Brisbane,20.6,30.7,0,7.8,10.4,ENE,24,W,E,4,15,60,57,1019.2,1015.9,3,2,26.8,28.5,No,No
2016-01-11,Brisbane,19.9,30.4,0,7.4,13.1,NA,NA,ESE,ENE,6,11,55,49,1017.5,1013.8,3,1,27.1,29.3,No,No
2016-01-12,Brisbane,22.3,31.4,0,8,12.7,ENE,24,NE,NE,6,9,57,53,1016.7,1013.6,2,1,28,30.6,No,No
2016-01-13,Brisbane,21.8,30.9,0,6.8,11.3,ENE,22,NNE,ENE,6,11,56,50,1018.5,1016.9,1,5,28.6,29.7,No,No
2016-01-14,Brisbane,20.3,31.1,0,7.8,12.7,ENE,24,NNE,NE,6,9,53,53,1018.5,1015.6,2,1,27.6,30,No,No
2016-01-15,Brisbane,21.9,31.9,0,9.2,10.8,SE,39,SSW,E,4,19,57,58,1016.3,1013.9,4,4,28.5,29.3,No,No
2016-01-16,Brisbane,18.7,26.4,1,8.8,0,ESE,31,SSW,ESE,4,15,86,53,1021.1,1019,8,7,20.1,25.1,No,No
2016-01-17,Brisbane,18,28.3,0,6.2,10.1,ESE,35,SE,SE,13,15,48,45,1020.5,1017.8,5,4,26.1,26.7,No,No
2016-01-18,Brisbane,19.7,28.6,0,9,12.4,E,26,SSE,E,9,13,47,45,1018.8,1016.2,6,3,25.6,26.8,No,No
2016-01-19,Brisbane,18.4,29.9,0,9.2,12.7,ENE,24,WNW,NE,4,11,54,49,1019.3,1015.4,4,6,25.4,28.5,No,No
2016-01-20,Brisbane,19.3,30.5,0,8,12.8,NE,30,NE,NNE,6,9,52,48,1018.3,1014.6,3,1,27.2,29.2,No,No
2016-01-21,Brisbane,21.7,30.7,0,8,12.9,NE,28,NNE,NE,7,13,50,51,1016.8,1013.6,3,3,27.6,29.5,No,No
2016-01-22,Brisbane,21.3,32.7,0,10.8,11.7,NE,28,NW,NE,6,11,48,52,1014.7,1010.5,5,6,27.8,30.3,No,No
2016-01-23,Brisbane,23.2,30.1,0,10,2.5,WSW,26,N,ENE,6,6,56,69,1008.9,1006.3,7,8,27.8,27.8,No,Yes
2016-01-24,Brisbane,21.1,31.8,10.2,3,9.1,E,31,SSE,E,7,17,64,57,1010.9,1008.6,7,4,28,29.1,Yes,No
2016-01-25,Brisbane,21.9,30.8,0,8.6,6.6,ENE,30,E,ENE,6,17,70,61,1013.6,1010.4,7,7,27.1,28.6,No,Yes
2016-01-26,Brisbane,23,28.5,2,7,2.6,ESE,28,SSW,E,4,15,82,70,1014.5,1013.7,7,8,25,26,Yes,No
2016-01-27,Brisbane,20.6,29.4,0.4,4,9.5,ENE,22,SSE,ENE,4,9,63,57,1015.5,1012,6,7,26.3,27.3,No,No
2016-01-28,Brisbane,23.2,29.9,0.2,7,0.3,NE,22,NNW,NNE,6,6,70,73,1010.9,1006.5,8,7,25.6,26.9,No,Yes
2016-01-29,Brisbane,23.3,35.7,1.8,2.6,6.1,ENE,28,NNE,NE,4,9,69,74,1005.1,1001.4,3,7,29.6,29.3,Yes,Yes
2016-01-30,Brisbane,23.2,30.8,1.2,6.2,1.2,NNE,24,NNE,NE,7,7,70,84,1007.3,1005.8,7,7,29,28.1,Yes,Yes
2016-01-31,Brisbane,23.6,34,2.6,3.6,8.4,NNE,33,NNW,NNE,7,13,62,60,1010.1,1006.1,6,5,29.6,32.8,Yes,No
2016-02-01,Brisbane,24.6,35,0,7.2,7.5,E,30,NE,ENE,7,13,68,67,1008.3,1002.4,7,4,29.7,31.6,No,No
2016-02-02,Brisbane,23.5,36.2,0,6.8,4.8,W,41,E,WNW,6,11,57,32,1004.7,1001.5,6,8,32.1,35.5,No,No
2016-02-03,Brisbane,24.4,34.1,0.2,9.2,7.1,N,30,SSW,NE,6,9,59,57,1004.3,1000.7,7,6,29.5,31.3,No,NA
2016-02-04,Brisbane,24.8,27.4,NA,6.2,0,NA,NA,SSE,ESE,6,9,80,69,1005.2,1005.2,8,8,26.5,26.5,NA,NA
2016-02-05,Brisbane,21.7,27,NA,3.6,0,ESE,30,S,S,4,6,69,71,1009.1,1007.8,7,8,25.8,26.8,NA,Yes
2016-02-06,Brisbane,22.1,29.9,1.2,6,7.2,SE,43,SE,SE,11,13,72,67,1011.5,1009.2,6,7,25.9,27.1,Yes,Yes
2016-02-07,Brisbane,21.4,28.6,7.8,7.4,3.8,SSE,30,SSW,SE,9,11,64,59,1013.7,1012.4,7,7,25.9,26.4,Yes,No
2016-02-08,Brisbane,19.9,30.9,0.2,8,12.2,ESE,30,SSW,SE,9,13,53,45,1015.9,1012.6,2,3,26.2,29.5,No,No
2016-02-09,Brisbane,20,30.4,0,8.2,12.5,SSE,39,SE,ESE,11,15,54,46,1015.8,1013.3,4,1,27.4,29.4,No,No
2016-02-10,Brisbane,21.7,30.9,0,10.4,7.7,E,37,SSE,ESE,11,15,53,53,1014,1011,6,5,26.7,29.3,No,No
2016-02-11,Brisbane,20.4,31,0,9.8,12.1,E,35,SE,ESE,11,15,60,49,1013.1,1010.7,3,5,27.5,29.9,No,No
2016-02-12,Brisbane,20.8,30.6,0,9.2,11.4,SE,41,SSE,SE,13,17,58,49,1013.2,1011.4,3,7,27.4,29.3,No,No
2016-02-13,Brisbane,20.5,28.9,0,10.6,2.9,SE,41,S,SE,7,13,54,56,1011.5,1009.3,7,7,26.8,27.4,No,No
2016-02-14,Brisbane,20.3,32.5,0.2,5.4,12.3,E,31,S,E,9,17,56,49,1008.9,1006.1,3,1,27.2,31.1,No,No
2016-02-15,Brisbane,20.9,34.3,0,9.2,12.5,ENE,28,SW,ESE,7,13,60,49,1010.1,1007,2,1,27.6,32.5,No,No
2016-02-16,Brisbane,21.3,36,0,8.6,11.3,NE,26,WSW,ENE,4,13,66,51,1008.9,1004.5,2,2,27.8,32.7,No,No
2016-02-17,Brisbane,24.9,33.8,0,6.6,9.5,E,33,SE,ENE,7,15,63,57,1008.1,1005.5,7,2,28.9,30.5,No,No
2016-02-18,Brisbane,24.6,32.6,0,8.6,11.8,NE,30,NNE,NE,7,13,60,57,1008.6,1005.2,4,1,30,31.1,No,No
2016-02-19,Brisbane,26,32.7,0.4,9.6,7.8,NE,28,NE,NE,9,11,75,63,1013.4,1010.9,7,6,27.7,30.7,No,Yes
2016-02-20,Brisbane,22.2,32.3,3.6,8.2,11.2,E,28,NW,NE,2,13,65,55,1017.3,1014.9,5,1,27.7,30.1,Yes,No
2016-02-21,Brisbane,22.3,31.8,0,8,11.9,SE,44,ESE,ESE,11,17,59,42,1020.9,1019.1,3,2,28.2,30.3,No,No
2016-02-22,Brisbane,21.2,31.8,0.2,10.2,12,E,41,SE,ESE,11,15,56,47,1022.6,1019.2,4,5,27.1,29.7,No,No
2016-02-23,Brisbane,20.5,31.7,0,10.6,12,E,35,SE,ESE,15,11,57,47,1019.5,1016.2,6,3,27.2,29.6,No,No
2016-02-24,Brisbane,20.1,32,0,8.8,12,E,24,ESE,ENE,7,11,57,46,1017.9,1014.5,2,1,26,29.6,No,No
2016-02-25,Brisbane,19.8,31.9,0,8,12,NE,24,ESE,NE,2,11,55,50,1016.4,1013.1,3,1,26.6,30,No,No
2016-02-26,Brisbane,20.5,32.8,0,8,11.7,E,24,WNW,ENE,7,11,62,49,1012.7,1008.3,2,1,26.7,31.9,No,No
2016-02-27,Brisbane,21.2,35.5,0,8.6,12.1,E,31,SE,ESE,11,17,46,37,1013.2,1009.6,2,1,29.5,33.7,No,No
2016-02-28,Brisbane,23,32.9,0,11.2,11.1,SSE,33,SSW,ESE,7,13,60,53,1014.7,1011.4,6,3,28.6,30.7,No,No
2016-02-29,Brisbane,23,32.9,0,9.4,10.8,SE,37,SSE,ESE,4,15,64,47,1016.9,1014,6,2,26.3,31.8,No,No
2016-03-01,Brisbane,22.1,30.5,0.4,8.5,8.1,E,30,SSE,SSE,7,11,72,88,1018.5,1016.9,5,6,27,24.8,No,Yes
2016-03-02,Brisbane,21.2,29.8,20.8,9,10.3,E,30,SSW,ENE,2,15,74,64,1019.9,1017.8,7,3,26.4,28.9,Yes,Yes
2016-03-03,Brisbane,21.8,30.3,6.6,6.4,11,NE,30,ENE,ENE,9,15,63,51,1021.3,1018.7,6,1,26.8,29.1,Yes,No
2016-03-04,Brisbane,20.7,29.9,0.4,8.4,11.1,E,33,ESE,E,4,11,66,44,1021.2,1017.8,4,2,25.7,29.7,No,No
2016-03-05,Brisbane,20.5,28.6,0,9.2,4.9,SE,26,SE,SE,9,15,65,62,1020.8,1018.3,7,7,25.9,26.7,No,Yes
2016-03-06,Brisbane,19.6,30.5,1.8,5.6,10,E,26,W,E,6,11,69,54,1021.4,1018.3,6,4,25.4,29,Yes,Yes
2016-03-07,Brisbane,20.9,30.4,3.2,6,5.8,E,33,S,E,4,13,77,55,1021,1018.6,7,7,25.4,27.7,Yes,Yes
2016-03-08,Brisbane,21.4,30.1,1.2,7.4,8.7,E,28,SSW,E,4,13,77,62,1020,1018.3,6,3,25.9,28.7,Yes,Yes
2016-03-09,Brisbane,22.1,27.2,6.2,5.2,3.3,E,30,E,E,9,15,84,73,1021.8,1019.4,6,7,25.1,26,Yes,Yes
2016-03-10,Brisbane,20.4,30.9,6.8,4.2,7.8,ENE,31,S,ENE,6,15,68,71,1021,1018.4,7,7,26.8,27.7,Yes,Yes
2016-03-11,Brisbane,22.4,28.2,4.4,4.6,7.8,NE,22,NA,ENE,0,11,79,69,1019.6,1017,7,6,26.9,27.5,Yes,No
2016-03-12,Brisbane,21.4,30.8,0,5.2,7.5,SE,31,SSE,SE,11,17,64,45,1019.4,1016.6,6,7,27.1,29.6,No,Yes
2016-03-13,Brisbane,22.1,28,7,5.8,8.2,E,28,WSW,E,6,11,90,72,1017.9,1015.1,7,6,24.5,27.5,Yes,Yes
2016-03-14,Brisbane,21.6,30,16.4,4,10.1,E,26,SSE,E,9,9,67,56,1016.1,1012.8,3,3,27.3,28.8,Yes,No
2016-03-15,Brisbane,20.5,31.4,0,7.4,9.1,SE,30,S,ESE,9,15,64,59,1014.4,1011.7,2,2,26.8,29.6,No,Yes
2016-03-16,Brisbane,21.4,30.3,1.4,8,9.6,SE,31,S,SE,6,11,70,60,1014.1,1011.5,6,7,26.5,28.8,Yes,No
2016-03-17,Brisbane,21.9,29.3,0.2,7.2,7.9,SE,28,SE,SE,11,11,64,58,1013.2,1009.4,6,4,26.8,27.7,No,No
2016-03-18,Brisbane,21.3,30.9,0,5.4,11.3,ENE,24,WSW,ENE,6,11,68,57,1009.6,1004.6,2,1,26.5,29.6,No,Yes
2016-03-19,Brisbane,22,33.5,6.8,7,9.9,SE,35,WNW,E,4,17,71,59,1007.9,1005.8,2,5,27.1,29.5,Yes,No
2016-03-20,Brisbane,21.2,29.7,0.2,7.6,6.3,SE,28,SW,ESE,6,11,65,56,1012.7,1009.6,5,4,25.1,28.8,No,No
2016-03-21,Brisbane,21.2,28.9,0,5,6.5,ESE,31,S,ESE,7,15,61,55,1012.8,1008.8,2,7,26.4,27.1,No,No
2016-03-22,Brisbane,19,28.8,0,6.4,10.5,E,28,S,ESE,7,11,57,52,1013.4,1011,1,2,24.6,26.9,No,No
2016-03-23,Brisbane,19,29.4,0.4,7,10.8,E,22,S,ENE,4,13,64,48,1017.5,1014.5,4,2,24.3,27.8,No,Yes
2016-03-24,Brisbane,19.9,30.1,2.8,7.2,8.3,NE,26,SSW,ENE,6,11,63,59,1021.4,1017.5,6,3,25.5,27,Yes,No
2016-03-25,Brisbane,19.2,30.4,0,4.6,11.1,ENE,22,WSW,ENE,2,9,62,49,1020.1,1015.9,2,1,25.5,28.1,No,No
2016-03-26,Brisbane,19.4,30.8,0,6.4,9.6,ENE,24,SW,ENE,4,13,60,50,1017.7,1013.8,5,5,25.8,29.1,No,Yes
2016-03-27,Brisbane,19.9,25.7,3.4,6.6,0.2,WSW,15,SW,NA,6,0,75,71,1017.6,1015.5,7,8,23.3,25.1,Yes,No
2016-03-28,Brisbane,19.5,28.9,0.4,2,9.9,NE,20,WSW,NE,7,9,75,59,1019.4,1016.3,3,3,24.4,27.2,No,No
2016-03-29,Brisbane,19.3,30.7,0.2,4.4,10.8,NE,20,SSW,NE,6,9,67,53,1019.6,1015.9,1,1,25.9,28.9,No,No
2016-03-30,Brisbane,19.5,31.9,0,8,8.3,WNW,24,N,NE,6,7,60,55,1017.4,1013.5,3,3,26.9,28.5,No,Yes
2016-03-31,Brisbane,20,31.9,26.4,7.2,10.6,E,22,SW,E,4,7,69,56,1016.8,1013.3,2,2,25.3,29,Yes,No
2016-04-01,Brisbane,19.5,29.5,0,5.4,10.7,ENE,22,W,E,4,13,58,58,1019.6,1016.4,1,4,25.4,27.1,No,No
2016-04-02,Brisbane,19.9,30.4,0,5,10.1,ENE,22,WSW,NE,6,7,69,51,1019.9,1016,2,1,25.3,29.6,No,No
2016-04-03,Brisbane,19.6,30.1,0,5,10.8,E,26,W,ESE,6,11,68,52,1020.1,1017.9,2,2,25.3,28.5,No,No
2016-04-04,Brisbane,21.4,30,0,7.2,8.6,SE,37,SSE,ESE,11,17,60,38,1020,1016.4,3,4,26.4,28.7,No,No
2016-04-05,Brisbane,18.9,29.1,0,8,10.7,E,33,SSW,ESE,6,15,56,42,1019.7,1016.8,2,2,25.9,27.7,No,No
2016-04-06,Brisbane,18,29.6,0,7,10.8,ENE,20,SSW,ENE,6,11,59,50,1021.1,1017.5,1,1,24.8,28.1,No,No
2016-04-07,Brisbane,18.5,30.8,0,4.4,10.2,NE,22,SW,ENE,4,9,68,48,1020.5,1017,1,3,24.8,28.9,No,No
2016-04-08,Brisbane,20.1,29.8,0,7.2,7.1,ENE,17,N,ENE,2,7,65,54,1021.5,1018.8,7,6,26.7,28.6,No,No
2016-04-09,Brisbane,19.4,30.1,0,4.6,9.5,E,20,NW,ENE,2,9,72,53,1021.7,1018.9,1,1,25.9,28.4,No,No
2016-04-10,Brisbane,19.1,29.7,0,5,9.8,ENE,22,WNW,NNE,6,9,61,58,1021.1,1017.1,1,1,26.2,28.7,No,No
2016-04-11,Brisbane,21.7,30.5,0,5,0.7,W,19,WNW,S,2,4,69,44,1017.9,1014.6,8,7,25.8,29,No,No
2016-04-12,Brisbane,20.3,27.6,0,3.2,2.5,E,24,ESE,SE,13,6,72,57,1019.4,1016.8,7,6,25,26.2,No,No
2016-04-13,Brisbane,18.8,28.5,0,4.8,10,SSE,35,SSE,ESE,7,17,59,46,1022.4,1020.7,2,1,25.4,27.1,No,Yes
2016-04-14,Brisbane,18.8,27.3,1.4,7.2,5.1,ESE,41,SSE,ESE,11,17,76,51,1025.4,1023.4,6,6,22.3,25.3,Yes,No
2016-04-15,Brisbane,16.8,26.5,0.6,6.4,6.1,ESE,28,SSW,W,7,4,55,68,1024.7,1021.3,2,7,22.8,23,No,No
2016-04-16,Brisbane,15.9,27.3,0.4,4.2,6.3,ESE,19,SW,E,6,11,59,56,1020.7,1017.1,6,7,22.7,24.9,No,No
2016-04-17,Brisbane,17.6,28.2,0,3.8,7.4,ENE,24,WSW,E,6,11,69,52,1019.4,1015.5,6,5,22,26.5,No,No
