Date_x,Date_y,MinTemp,MaxTemp,RainFall,Evaporation,Sunshine,WindGustDir_x,WindGustDir_y,WindGustSpeed,WindDir9am_x,WindDir9am_y,WindDir3pm_x,WindDir3pm_y,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,dewDiffTemp3pm,dewDiffTemp9am,diffTemp3pm9am,diffPress3pm9am,RainToday
1,0,19.1,30.8,0,10.4,11.5,-0.382683,0.92388,30,-0.92388,0.382683,6.12323e-17,1,7,13,46,46,1013.4,1009.7,4,1,25.8,28.2,12.7339,12.5104,2.4,-3.7,0
0.999852,0.0172134,18.5,30.1,0,8.8,11.9,0.382683,0.92388,28,-0.707107,0.707107,0.382683,0.92388,6,13,46,43,1011.6,1007.8,1,4,25.7,28.3,13.7926,12.5012,2.6,-3.8,0
0.999407,0.0344216,21,28,0,8.8,0.9,-0.707107,0.707107,24,-1,1.22465e-16,6.12323e-17,1,2,11,64,55,1011.6,1009.5,7,7,23.8,26.4,9.78155,7.22873,2.6,-2.1,0
0.998667,0.0516197,18.5,26.8,8.8,4,0.5,0.382683,0.92388,19,-0.92388,-0.382683,0.382683,0.92388,6,9,69,69,1012.6,1009.7,7,8,23.5,25.9,6.13467,6.02474,2.4,-2.9,1
0.994671,0.103102,21.6,30,0,8,13,0.707107,0.707107,28,6.12323e-17,1,0.382683,0.92388,7,13,52,53,1010.4,1009.6,3,2,27.7,29.1,10.5726,10.7653,1.4,-0.8,0
0.990532,0.137279,19.4,30.3,0,9.6,12.6,0.382683,0.92388,26,0.382683,-0.92388,0.382683,0.92388,6,13,57,54,1020.7,1017.2,5,1,26,28.1,10.1979,9.19013,2.1,-3.5,0
0.988023,0.154309,20.6,30.7,0,7.8,10.4,0.382683,0.92388,24,-1.83697e-16,-1,6.12323e-17,1,4,15,60,57,1019.2,1015.9,3,2,26.8,28.5,9.36211,8.42827,1.7,-3.3,0
0.982126,0.188227,22.3,31.4,0,8,12.7,0.382683,0.92388,24,0.707107,0.707107,0.707107,0.707107,6,9,57,53,1016.7,1013.6,2,1,28,30.6,10.6894,9.32759,2.6,-3.1,0
0.97874,0.205104,21.8,30.9,0,6.8,11.3,0.382683,0.92388,22,0.92388,0.382683,0.382683,0.92388,6,11,56,50,1018.5,1016.9,1,5,28.6,29.7,11.5518,9.65333,1.1,-1.6,0
0.975065,0.221922,20.3,31.1,0,7.8,12.7,0.382683,0.92388,24,0.92388,0.382683,0.707107,0.707107,6,9,53,53,1018.5,1015.6,2,1,27.6,30,10.6426,10.4563,2.4,-2.9,0
