Date_x,Date_y,MinTemp,MaxTemp,RainFall,Evaporation,Sunshine,WindGustDir_x,WindGustDir_y,WindGustSpeed,WindDir9am_x,WindDir9am_y,WindDir3pm_x,WindDir3pm_y,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday
1,0,22.2,33.9,0,9,6.9,-1.83697e-16,-1,44,-0.707107,0.707107,0.92388,0.382683,4,13,60,65,1007.4,1005.1,5,7,29.7,30.9,0
0.999852,0.0172134,23.2,31.5,0,7.4,0.7,-0.382683,0.92388,30,-0.92388,-0.382683,6.12323e-17,1,11,17,74,47,1009.9,1009.7,8,8,25,29.4,0
0.999407,0.0344216,21.8,26,4.4,5.4,0,-0.92388,0.382683,41,-0.707107,0.707107,-0.92388,0.382683,15,15,85,86,1015.3,1015.1,8,8,22.7,22.1,1
0.998667,0.0516197,20.1,27.5,4.8,4.2,7,-0.382683,0.92388,35,-0.707107,0.707107,-0.707107,0.707107,17,17,55,45,1017.4,1014.7,7,7,25.6,26.3,1
0.99763,0.0688024,20.4,29,0,7.8,7.7,-0.92388,0.382683,30,-0.707107,0.707107,6.12323e-17,1,11,19,65,54,1014.1,1012.1,7,7,25.8,27.7,0
0.996298,0.0859648,20.8,30.5,0,6.4,12.7,6.12323e-17,1,30,-0.382683,0.92388,6.12323e-17,1,9,15,58,49,1013.5,1011.1,3,2,27.3,29.6,0
0.994671,0.103102,20.9,29.8,0,8.6,11.4,0.707107,0.707107,30,6.12323e-17,1,0.707107,0.707107,9,17,62,57,1013,1010.2,3,7,27.2,28.4,0
0.990532,0.137279,23.1,30.2,0.6,4.4,2.8,-0.92388,0.382683,43,-1,1.22465e-16,-0.92388,0.382683,9,24,74,47,1011.8,1010.4,8,7,24.9,28.9,0
0.988023,0.154309,19,29.1,0.2,6.4,9.6,-0.707107,0.707107,43,-0.707107,0.707107,-0.382683,0.92388,20,22,52,51,1012.4,1010.4,3,5,26,26.3,0
0.98522,0.171293,19.6,28.7,0,9,8.9,-0.382683,0.92388,33,-0.707107,0.707107,6.12323e-17,1,9,17,55,56,1012.6,1010.6,7,7,25.5,26.2,0
0.982126,0.188227,18.6,29.5,0,7.6,9.5,-0.382683,0.92388,35,6.12323e-17,1,6.12323e-17,1,9,15,60,54,1014.6,1013.2,7,7,26,27.8,0
0.97874,0.205104,20.2,30.2,0,7.6,11.5,6.12323e-17,1,37,-0.382683,0.92388,6.12323e-17,1,17,20,55,53,1017.2,1015.4,6,4,26.3,27.2,0
0.975065,0.221922,18.8,29.3,0,9.4,13,0.707107,0.707107,33,6.12323e-17,1,-0.382683,0.92388,13,17,49,39,1017.2,1015.3,3,3,26.7,28.5,0
0.9711,0.238673,19,31.7,0,8.4,12.8,0.92388,0.382683,30,-1.83697e-16,-1,0.382683,0.92388,7,17,59,45,1016.4,1013.1,3,1,26.1,29.7,0
0.966848,0.255353,19.8,32.9,0,9,12.4,0.707107,0.707107,31,0.382683,-0.92388,0.707107,0.707107,7,15,54,52,1013.8,1010,1,6,28.1,31.1,0
0.962309,0.271958,23.2,31.1,0,9,7.1,-0.382683,0.92388,52,-0.382683,0.92388,-0.707107,0.707107,15,22,65,61,1012.6,1014,7,7,27.9,26.1,0
0.957485,0.288482,20.3,27.8,0,8.8,5.8,-0.382683,0.92388,33,-0.382683,0.92388,-0.382683,0.92388,13,17,56,56,1019.4,1018.1,7,7,25.4,25.1,0
0.952378,0.304921,18.7,28.9,0,7.6,9,0.382683,0.92388,31,-0.707107,0.707107,0.382683,0.92388,13,15,49,50,1019.2,1016.7,7,7,26.4,26.5,0
0.946988,0.32127,19.3,30.9,0,8.6,12.5,0.382683,0.92388,26,0.382683,0.92388,0.382683,0.92388,9,17,49,42,1017.7,1015.5,4,3,27.4,29.3,0
0.941317,0.337523,21.9,31.5,0,8.2,11.7,0.707107,0.707107,35,0.92388,0.382683,0.92388,0.382683,11,17,63,54,1016.5,1013.5,5,1,28.4,30.2,0
0.935368,0.353676,25,32.3,0,9.2,8.2,0.707107,0.707107,43,0.92388,-0.382683,0.92388,0.382683,11,17,64,58,1014.5,1010.6,5,6,28.4,30.6,0
0.929141,0.369725,24.2,29.9,26.6,7,0.5,0.92388,0.382683,30,1,0,0.92388,0.382683,2,13,84,77,1012.4,1009.5,7,7,26.6,28.3,1
0.92264,0.385663,23.6,32.5,4.4,2.8,3.8,0.92388,0.382683,30,-0.707107,-0.707107,0.707107,0.707107,6,13,68,64,1011.5,1007.9,7,7,29.3,30.3,1
0.915864,0.401488,25.2,31,0,3.6,3.1,0.382683,0.92388,26,0.382683,0.92388,0.707107,0.707107,7,15,81,80,1013,1012.9,7,7,27.3,27.9,0
0.908818,0.417194,23.1,30.5,29.8,6.4,7.4,0.707107,0.707107,28,0.92388,0.382683,-0.382683,0.92388,7,11,73,51,1016.3,1015,6,6,27.3,29.5,1
0.901502,0.432776,22.1,30.5,1.8,5.8,10.4,6.12323e-17,1,39,-0.382683,0.92388,-0.707107,0.707107,15,20,68,55,1016.7,1015.1,6,4,26.9,28,1
0.893919,0.448229,20.8,30.1,0.2,8.6,10.2,-0.382683,0.92388,35,-0.382683,0.92388,-0.382683,0.92388,15,19,61,54,1016.1,1015.3,6,1,27.8,28.6,0
0.886071,0.46355,21.1,29,0,7,5.2,6.12323e-17,1,35,0.382683,0.92388,0.382683,0.92388,13,19,67,66,1017.3,1015.5,7,7,26.2,26.7,0
0.860961,0.508671,22.1,27.9,0.8,7.4,0.1,-0.707107,0.707107,28,-0.92388,-0.382683,-0.382683,0.92388,4,13,80,60,1015.4,1012.9,7,7,23.9,27.3,0
0.852078,0.523416,23,28.4,1,5.6,1.5,-0.382683,0.92388,37,-0.707107,0.707107,-0.382683,0.92388,19,17,80,62,1012.8,1010.4,7,8,23.6,26.9,0
0.842942,0.538005,21.9,29.8,6.2,2.4,8.7,0.707107,0.707107,28,-0.92388,0.382683,0.382683,0.92388,6,13,77,59,1011.1,1008,7,4,24.9,28.4,1
0.833556,0.552435,22.7,30.6,0.6,5.8,11.8,0.382683,0.92388,33,-0.382683,0.92388,6.12323e-17,1,15,19,62,51,1009.2,1007.1,3,2,28.8,29.4,0
