Date_x,Date_y,MinTemp,MaxTemp,RainFall,Evaporation,Sunshine,WindGustDir_x,WindGustDir_y,WindGustSpeed,WindDir9am_x,WindDir9am_y,WindDir3pm_x,WindDir3pm_y,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday
1,0,19.1,30.8,0,10.4,11.5,-0.382683,0.92388,30,-0.92388,0.382683,6.12323e-17,1,7,13,46,46,1013.4,1009.7,4,1,25.8,28.2,0
0.999852,0.0172134,18.5,30.1,0,8.8,11.9,0.382683,0.92388,28,-0.707107,0.707107,0.382683,0.92388,6,13,46,43,1011.6,1007.8,1,4,25.7,28.3,0
0.999407,0.0344216,21,28,0,8.8,0.9,-0.707107,0.707107,24,-1,1.22465e-16,6.12323e-17,1,2,11,64,55,1011.6,1009.5,7,7,23.8,26.4,0
0.998667,0.0516197,18.5,26.8,8.8,4,0.5,0.382683,0.92388,19,-0.92388,-0.382683,0.382683,0.92388,6,9,69,69,1012.6,1009.7,7,8,23.5,25.9,1
0.994671,0.103102,21.6,30,0,8,13,0.707107,0.707107,28,6.12323e-17,1,0.382683,0.92388,7,13,52,53,1010.4,1009.6,3,2,27.7,29.1,0
0.990532,0.137279,19.4,30.3,0,9.6,12.6,0.382683,0.92388,26,0.382683,-0.92388,0.382683,0.92388,6,13,57,54,1020.7,1017.2,5,1,26,28.1,0
0.988023,0.154309,20.6,30.7,0,7.8,10.4,0.382683,0.92388,24,-1.83697e-16,-1,6.12323e-17,1,4,15,60,57,1019.2,1015.9,3,2,26.8,28.5,0
0.982126,0.188227,22.3,31.4,0,8,12.7,0.382683,0.92388,24,0.707107,0.707107,0.707107,0.707107,6,9,57,53,1016.7,1013.6,2,1,28,30.6,0
0.97874,0.205104,21.8,30.9,0,6.8,11.3,0.382683,0.92388,22,0.92388,0.382683,0.382683,0.92388,6,11,56,50,1018.5,1016.9,1,5,28.6,29.7,0
0.975065,0.221922,20.3,31.1,0,7.8,12.7,0.382683,0.92388,24,0.92388,0.382683,0.707107,0.707107,6,9,53,53,1018.5,1015.6,2,1,27.6,30,0
0.9711,0.238673,21.9,31.9,0,9.2,10.8,-0.707107,0.707107,39,-0.92388,-0.382683,6.12323e-17,1,4,19,57,58,1016.3,1013.9,4,4,28.5,29.3,0
0.966848,0.255353,18.7,26.4,1,8.8,0,-0.382683,0.92388,31,-0.92388,-0.382683,-0.382683,0.92388,4,15,86,53,1021.1,1019,8,7,20.1,25.1,0
0.962309,0.271958,18,28.3,0,6.2,10.1,-0.382683,0.92388,35,-0.707107,0.707107,-0.707107,0.707107,13,15,48,45,1020.5,1017.8,5,4,26.1,26.7,0
0.957485,0.288482,19.7,28.6,0,9,12.4,6.12323e-17,1,26,-0.92388,0.382683,6.12323e-17,1,9,13,47,45,1018.8,1016.2,6,3,25.6,26.8,0
0.952378,0.304921,18.4,29.9,0,9.2,12.7,0.382683,0.92388,24,0.382683,-0.92388,0.707107,0.707107,4,11,54,49,1019.3,1015.4,4,6,25.4,28.5,0
0.946988,0.32127,19.3,30.5,0,8,12.8,0.707107,0.707107,30,0.707107,0.707107,0.92388,0.382683,6,9,52,48,1018.3,1014.6,3,1,27.2,29.2,0
0.941317,0.337523,21.7,30.7,0,8,12.9,0.707107,0.707107,28,0.92388,0.382683,0.707107,0.707107,7,13,50,51,1016.8,1013.6,3,3,27.6,29.5,0
0.935368,0.353676,21.3,32.7,0,10.8,11.7,0.707107,0.707107,28,0.707107,-0.707107,0.707107,0.707107,6,11,48,52,1014.7,1010.5,5,6,27.8,30.3,0
0.929141,0.369725,23.2,30.1,0,10,2.5,-0.382683,-0.92388,26,1,0,0.382683,0.92388,6,6,56,69,1008.9,1006.3,7,8,27.8,27.8,0
0.92264,0.385663,21.1,31.8,10.2,3,9.1,6.12323e-17,1,31,-0.92388,0.382683,6.12323e-17,1,7,17,64,57,1010.9,1008.6,7,4,28,29.1,1
0.915864,0.401488,21.9,30.8,0,8.6,6.6,0.382683,0.92388,30,6.12323e-17,1,0.382683,0.92388,6,17,70,61,1013.6,1010.4,7,7,27.1,28.6,0
0.908818,0.417194,23,28.5,2,7,2.6,-0.382683,0.92388,28,-0.92388,-0.382683,6.12323e-17,1,4,15,82,70,1014.5,1013.7,7,8,25,26,1
0.901502,0.432776,20.6,29.4,0.4,4,9.5,0.382683,0.92388,22,-0.92388,0.382683,0.382683,0.92388,4,9,63,57,1015.5,1012,6,7,26.3,27.3,0
0.893919,0.448229,23.2,29.9,0.2,7,0.3,0.707107,0.707107,22,0.92388,-0.382683,0.92388,0.382683,6,6,70,73,1010.9,1006.5,8,7,25.6,26.9,0
0.886071,0.46355,23.3,35.7,1.8,2.6,6.1,0.382683,0.92388,28,0.92388,0.382683,0.707107,0.707107,4,9,69,74,1005.1,1001.4,3,7,29.6,29.3,1
0.87796,0.478734,23.2,30.8,1.2,6.2,1.2,0.92388,0.382683,24,0.92388,0.382683,0.707107,0.707107,7,7,70,84,1007.3,1005.8,7,7,29,28.1,1
0.869589,0.493776,23.6,34,2.6,3.6,8.4,0.92388,0.382683,33,0.92388,-0.382683,0.92388,0.382683,7,13,62,60,1010.1,1006.1,6,5,29.6,32.8,1
0.860961,0.508671,24.6,35,0,7.2,7.5,6.12323e-17,1,30,0.707107,0.707107,0.382683,0.92388,7,13,68,67,1008.3,1002.4,7,4,29.7,31.6,0
0.852078,0.523416,23.5,36.2,0,6.8,4.8,-1.83697e-16,-1,41,6.12323e-17,1,0.382683,-0.92388,6,11,57,32,1004.7,1001.5,6,8,32.1,35.5,0
0.814046,0.5808,22.1,29.9,1.2,6,7.2,-0.707107,0.707107,43,-0.707107,0.707107,-0.707107,0.707107,11,13,72,67,1011.5,1009.2,6,7,25.9,27.1,1
0.803928,0.594727,21.4,28.6,7.8,7.4,3.8,-0.92388,0.382683,30,-0.92388,-0.382683,-0.707107,0.707107,9,11,64,59,1013.7,1012.4,7,7,25.9,26.4,1
0.793572,0.608477,19.9,30.9,0.2,8,12.2,-0.382683,0.92388,30,-0.92388,-0.382683,-0.707107,0.707107,9,13,53,45,1015.9,1012.6,2,3,26.2,29.5,0
0.78298,0.622047,20,30.4,0,8.2,12.5,-0.92388,0.382683,39,-0.707107,0.707107,-0.382683,0.92388,11,15,54,46,1015.8,1013.3,4,1,27.4,29.4,0
0.772157,0.635432,21.7,30.9,0,10.4,7.7,6.12323e-17,1,37,-0.92388,0.382683,-0.382683,0.92388,11,15,53,53,1014,1011,6,5,26.7,29.3,0
0.761104,0.64863,20.4,31,0,9.8,12.1,6.12323e-17,1,35,-0.707107,0.707107,-0.382683,0.92388,11,15,60,49,1013.1,1010.7,3,5,27.5,29.9,0
0.749826,0.661635,20.8,30.6,0,9.2,11.4,-0.707107,0.707107,41,-0.92388,0.382683,-0.707107,0.707107,13,17,58,49,1013.2,1011.4,3,7,27.4,29.3,0
0.738326,0.674444,20.5,28.9,0,10.6,2.9,-0.707107,0.707107,41,-1,1.22465e-16,-0.707107,0.707107,7,13,54,56,1011.5,1009.3,7,7,26.8,27.4,0
